,blueWins,ratioFirstBlood,differenceFirstBlood,ratioKills,differenceKills,ratioDeaths,differenceDeaths,ratioAssists,differenceAssists,ratioEliteMonsters,differenceEliteMonsters,ratioDragons,differenceDragons,ratioTotalGold,differenceTotalGold,ratioAvgLevel,differenceAvgLevel,ratioTotalExperience,differenceTotalExperience,ratioTotalMinionsKilled,differenceTotalMinionsKilled,differenceGoldDiff,differenceExperienceDiff,ratioCSPerMin,differenceCSPerMin,ratioGoldPerMin,differenceGoldPerMin
11,0,1.0,1,1.0,1,0.75,-1,1.1111111111111112,2,0.0,0,0.0,0,0.9953760038938915,-75,0.8205128205128206,-0.39999999999999947,1.0087440381558028,144,1.0480769230769231,11,-150,288,1.0046082949308757,1.1000000000000014,0.9948312557008209,-7.5
12,0,0.0,-1,0.5,-3,1.4,3,0.4,-8,0.0,-1,0.0,-1,0.9303223541800737,-1190,0.8717948717948718,0.0,0.9962905547558409,-66,0.9958677685950413,0,-2380,-132,0.9601593625498008,0.0,0.9298327680972985,-119.0
13,0,1.0,1,1.6666666666666667,3,0.3333333333333333,-3,0.8,0,2.0,2,1.0,1,1.1474122959360888,2123,0.9473684210526316,0.6000000000000005,1.1587339362208473,2669,1.1131221719457014,26,4246,5338,1.0695652173913044,2.6000000000000014,1.1466953623993335,212.29999999999995
14,0,0.0,-1,0.1,-8,4.5,8,0.1111111111111111,-15,0.0,-1,0.0,-1,0.6460529511780423,-7285,0.744186046511628,-1.1999999999999993,0.7841407520575625,-4379,0.75,-62,-14570,-8758,0.7241379310344827,-6.200000000000003,0.6457706127998446,-728.5
15,1,1.0,1,0.4166666666666667,-6,1.8333333333333333,6,0.3125,-10,0.0,0,0.0,0,0.8382879461863947,-2980,0.8048780487804879,-0.6000000000000005,0.8496401376864504,-2882,0.8247863247863247,-40,-5960,-5764,0.7942386831275721,-4.0,0.8378788700319905,-298.0
16,1,0.0,-1,2.0,6,0.36363636363636365,-6,1.2857142857142858,3,0.0,-1,0.0,-1,1.1619595424287468,2507,0.9459459459459459,0.5999999999999996,1.1677625399210971,2680,0.9953488372093023,0,5014,5360,0.9553571428571429,0.0,1.1612840718253457,250.70000000000005
17,0,0.0,-1,0.5454545454545454,-4,1.4285714285714286,4,0.5833333333333334,-4,0.0,-1,0.0,-1,0.8819758042036014,-2116,0.853658536585366,-0.20000000000000018,0.9283861451604699,-1407,0.90625,-20,-4232,-2814,0.871244635193133,-2.0,0.8815334893569599,-211.5999999999999
18,0,0.0,-1,0.25,-5,2.3333333333333335,5,0.6,-1,0.0,-2,0.0,-1,0.8840802794387543,-1957,0.9,0.20000000000000018,0.9810241607868292,-354,0.9638009049773756,-7,-3914,-708,0.9260869565217391,-0.6999999999999993,0.8836094674556213,-195.70000000000005
19,1,1.0,1,0.7,-2,1.125,2,0.5714285714285714,-5,0.0,0,0.0,0,0.9287222507561491,-1248,0.8292682926829269,-0.40000000000000036,0.9543685121107266,-843,0.9622641509433962,-7,-2496,-1686,0.9230769230769229,-0.7000000000000028,0.9282454939539129,-124.79999999999995
20,1,1.0,1,3.0,7,0.2,-7,2.6666666666666665,6,1.0,1,0.0,0,1.2841699373407698,4128,0.9736842105263159,0.8000000000000007,1.184745362164717,3128,0.9590163934426229,-9,8256,6256,0.9249011857707509,-0.9000000000000021,1.2833746215249104,412.79999999999995
21,1,1.0,1,1.8333333333333333,6,0.4166666666666667,-6,2.5714285714285716,12,1.0,1,1.0,1,1.171671388101983,2728,0.9,0.20000000000000018,1.1134110280048704,1957,1.0044247787610618,2,5456,3914,0.9659574468085106,0.1999999999999993,1.1710079275198189,272.79999999999995
22,0,1.0,1,0.7,-2,1.125,2,0.6363636363636364,-3,0.0,-1,0.0,0,0.9502979737783075,-833,0.85,-0.20000000000000018,0.9474928245821375,-932,0.7359307359307359,-60,-1666,-1864,0.7083333333333334,-6.0,0.9497885520281135,-83.30000000000018
23,1,1.0,1,1.75,4,0.375,-4,0.6666666666666666,-1,0.5,0,1.0,1,1.1122335191866186,1712,0.8974358974358975,0.20000000000000018,1.115602216389618,1983,0.9873417721518988,-2,3424,3966,0.9512195121951218,-0.20000000000000284,1.1115772912023074,171.19999999999982
24,1,0.0,-1,0.6666666666666666,-1,1.0,1,0.7142857142857143,-1,2.0,2,1.0,1,0.9904705181655747,-159,0.878048780487805,0.0,0.9894279877425944,-206,1.0244897959183674,7,-318,-412,0.9881889763779529,0.7000000000000028,0.9899398773736532,-15.900000000000091
25,1,1.0,1,0.5,-4,1.5,4,0.29411764705882354,-11,0.5,0,0.0,-1,0.9167580673093575,-1441,0.8205128205128206,-0.39999999999999947,0.9450973513418699,-938,1.0303030303030303,7,-2882,-1876,0.9855072463768115,0.6999999999999993,0.9162820216939764,-144.10000000000014
26,1,1.0,1,1.1111111111111112,2,0.7272727272727273,-2,2.125,10,0.5,0,0.0,-1,0.9815805437599956,-333,0.853658536585366,-0.20000000000000018,0.9804751057598438,-359,0.7851239669421488,-51,-666,-718,0.7569721115537849,-5.100000000000001,0.9810935949729909,-33.299999999999955
27,1,0.0,-1,0.3333333333333333,-5,2.0,5,0.3333333333333333,-5,0.5,0,1.0,1,0.8184316805025802,-3236,0.8095238095238094,-0.6000000000000005,0.8538383324860194,-2874,0.8853754940711462,-28,-6472,-5748,0.8549618320610687,-2.8000000000000007,0.8180187251219375,-323.60000000000014
28,1,0.0,-1,2.5,4,0.16666666666666666,-4,1.6666666666666667,3,1.0,1,1.0,1,1.1254731915479386,1824,0.9,0.20000000000000018,1.0674894810659186,1204,1.0416666666666667,11,3648,2408,1.0040160642570282,1.1000000000000014,1.1247764479295639,182.4000000000001
29,0,1.0,1,0.7777777777777778,-1,1.0,1,0.18181818181818182,-8,0.0,-1,0.0,-1,0.9179982440737489,-1400,0.825,-0.40000000000000036,0.9636517328825022,-644,0.9712918660287081,-5,-2800,-1288,0.9311926605504587,-0.5,0.9175149175149175,-140.0
30,0,1.0,1,0.5,-4,1.5,4,0.25,-8,1.0,1,1.0,1,0.8884697669181398,-1980,0.8292682926829269,-0.40000000000000036,0.9169182717334722,-1595,0.8864628820960698,-25,-3960,-3190,0.8529411764705882,-2.5,0.888019807551629,-198.0
31,1,0.0,-1,0.5555555555555556,-3,1.3333333333333333,3,1.0,1,0.0,-1,0.0,-1,0.9495658379921494,-847,0.853658536585366,-0.20000000000000018,0.9854545454545455,-267,1.0245098039215685,6,-1694,-534,0.9812206572769953,0.5999999999999979,0.9490578374843963,-84.70000000000005
32,1,0.0,-1,0.3333333333333333,-1,1.0,1,0.3333333333333333,-1,1.0,1,1.0,1,0.9720875376752719,-425,0.853658536585366,-0.20000000000000018,0.9833909672010898,-316,1.01953125,6,-850,-632,0.9849056603773585,0.6000000000000014,0.9715146355837863,-42.5
33,1,0.0,-1,1.2,2,0.5714285714285714,-2,1.3333333333333333,3,0.0,-1,0.0,-1,1.1182551033675725,1820,0.9,0.20000000000000018,1.1065315315315316,1893,1.0863636363636364,20,3640,3786,1.0436681222707425,2.0,1.1176011955038658,182.0
34,1,1.0,1,1.5714285714285714,5,0.5,-5,1.25,3,1.0,1,1.0,1,1.2037128407549031,3304,0.875,0.0,0.9953319220539543,-85,1.0334928229665072,8,6608,-170,0.9908256880733946,0.8000000000000007,1.2030450594834494,330.4000000000001
35,0,0.0,-1,0.8,-1,1.0,1,1.1111111111111112,2,0.5,0,0.0,-1,0.9944659972615244,-96,0.9210526315789475,0.40000000000000036,1.0156099768112663,277,0.9629629629629629,-7,-192,554,0.9244444444444445,-0.6999999999999993,0.9939556366539316,-9.600000000000136
36,1,1.0,1,0.5555555555555556,-3,1.3333333333333333,3,0.3076923076923077,-8,0.0,0,0.0,0,0.9165924606708222,-1404,0.868421052631579,0.0,1.0273413336632438,443,1.1058201058201058,21,-2808,886,1.0555555555555554,2.099999999999998,0.9161030022546576,-140.4000000000001
37,0,0.0,-1,0.125,-6,3.5,6,0.0,-15,0.0,-1,0.0,-1,0.7015025213543274,-5800,0.744186046511628,-1.1999999999999993,0.803736002378357,-3960,0.8211382113821138,-43,-11600,-7920,0.792156862745098,-4.300000000000001,0.7011778017795608,-580.0
38,0,1.0,1,0.8,0,0.8,0,0.5,-2,1.0,1,1.0,1,0.9803126809496236,-305,0.9189189189189189,0.39999999999999947,1.0142426570533656,242,1.108910891089109,23,-610,484,1.0616113744075828,2.299999999999997,0.9797453703703703,-30.5
39,1,1.0,1,2.8,10,0.26666666666666666,-10,2.3333333333333335,9,0.0,-1,0.0,-1,1.3792990715313194,5802,1.0555555555555556,1.3999999999999995,1.3404429860541427,5396,1.3315508021390374,63,11604,10792,1.270408163265306,6.299999999999997,1.3784878781938184,580.2
40,0,1.0,1,0.4444444444444444,-4,1.6,4,0.5454545454545454,-4,1.0,1,1.0,1,0.8289503642987249,-3004,0.8048780487804879,-0.6000000000000005,0.8039703493095045,-3860,0.8521739130434782,-33,-6008,-7720,0.8200836820083683,-3.299999999999997,0.8285259145474199,-300.4000000000001
41,1,0.0,-1,1.3333333333333333,2,0.4,-2,1.3333333333333333,2,0.0,-1,0.0,-1,1.0309173503288358,457,0.8947368421052632,0.20000000000000018,1.0409826314537236,690,0.9322709163346613,-16,914,1380,0.8999999999999999,-1.6000000000000014,1.0302886569995935,45.700000000000045
42,1,1.0,1,0.5,-1,1.0,1,0.6666666666666666,-1,0.0,-1,0.0,-1,1.070840858920329,1060,0.8717948717948718,0.0,1.1006070607650145,1708,1.1179245283018868,26,2120,3416,1.0723981900452488,2.599999999999998,1.0701965503409547,106.0
43,0,0.0,-1,0.6,-3,1.2857142857142858,3,0.46153846153846156,-6,1.0,1,1.0,1,0.9454978993982059,-959,0.875,0.0,0.9482723053120165,-1002,1.1273584905660377,28,-1918,-2004,1.081447963800905,2.799999999999997,0.9450150371673383,-95.89999999999986
44,0,0.0,-1,0.375,-4,1.75,4,0.625,-2,0.0,-1,0.0,-1,0.8593636819524154,-2523,0.8571428571428571,-0.20000000000000018,0.962105154319392,-732,0.9678714859437751,-7,-5046,-1464,0.9341085271317829,-0.6999999999999993,0.8589329472042772,-252.29999999999995
45,1,1.0,1,1.8,5,0.4,-5,3.25,10,0.0,0,0.0,0,1.1677734110313052,2477,0.868421052631579,0.0,1.0673499267935578,1105,1.0,1,4954,2210,0.9558823529411765,0.10000000000000142,1.1670616916096703,247.70000000000005
46,0,1.0,1,0.3333333333333333,-5,2.0,5,0.25,-2,0.0,0,0.0,0,0.857419014703298,-2433,0.8292682926829269,-0.40000000000000036,0.9129627719913376,-1687,0.8616071428571429,-30,-4866,-3374,0.8283261802575107,-3.0,0.8569672131147541,-243.29999999999995
47,1,0.0,-1,0.6,-1,1.0,1,0.6666666666666666,-1,0.5,0,0.0,-1,1.0291937581274382,450,0.9210526315789475,0.40000000000000036,1.03822984244671,661,1.0083333333333333,3,900,1322,0.9718875502008032,0.3000000000000007,1.028591851322373,45.0
48,0,1.0,1,1.2222222222222223,3,0.6666666666666666,-3,1.2727272727272727,4,0.0,-2,0.0,-1,1.119484957588332,1959,0.9230769230769231,0.40000000000000036,1.0509937535491198,899,1.0954773869346734,20,3918,1798,1.0480769230769231,2.0,1.1188704562088314,195.9000000000001
49,0,1.0,1,0.875,0,0.875,0,7.0,7,1.0,1,1.0,1,1.0281813080615998,453,0.825,-0.40000000000000036,0.9057235421166306,-1745,0.7949790794979079,-48,906,-3490,0.7661290322580645,-4.800000000000001,1.0276046859421735,45.299999999999955
50,1,1.0,1,1.5,4,0.5,-4,1.0,1,0.0,-1,0.0,-1,1.1789555526759103,2763,0.9230769230769231,0.40000000000000036,1.0957251206619167,1667,1.1794871794871795,36,5526,3334,1.1274509803921569,3.6000000000000014,1.1782684711519782,276.29999999999995
51,0,1.0,1,1.3333333333333333,3,0.5555555555555556,-3,3.25,10,0.0,0,0.0,0,0.9859782150809412,-232,0.8292682926829269,-0.40000000000000036,0.9120938239724553,-1633,0.897119341563786,-24,-464,-3266,0.8650793650793651,-2.3999999999999986,0.9854444845422833,-23.199999999999818
52,0,1.0,1,0.8333333333333334,0,0.8333333333333334,0,0.7272727272727273,-2,0.0,-1,0.0,-1,0.9105067834763034,-1470,0.8,-0.5999999999999996,0.8996779651765733,-1837,0.8009049773755657,-43,-2940,-3674,0.7695652173913043,-4.300000000000001,0.9100085127082573,-147.0
53,0,0.0,-1,0.6,-3,1.2857142857142858,3,1.2857142857142858,3,1.0,1,1.0,1,0.8605172508064957,-2550,0.825,-0.40000000000000036,0.8926370418423614,-1985,0.8355555555555556,-36,-5100,-3970,0.8034188034188035,-3.599999999999998,0.8600939993441906,-255.0
54,0,0.0,-1,0.3333333333333333,-3,1.6666666666666667,3,0.16666666666666666,-9,1.0,1,1.0,1,0.9270763817266274,-1201,0.8717948717948718,0.0,0.9500407276676622,-919,1.0,1,-2402,-1838,0.9649805447470817,0.10000000000000142,0.9265704584040746,-120.10000000000014
55,1,1.0,1,1.6666666666666667,5,0.45454545454545453,-5,1.7142857142857142,6,2.0,2,1.0,1,1.2555729770263822,3750,0.9459459459459459,0.5999999999999996,1.176043673731535,2742,1.2666666666666666,53,7500,5484,1.2107843137254903,5.300000000000001,1.2548031066902847,375.0
56,1,1.0,1,1.2,3,0.6923076923076923,-3,0.8,-1,0.0,0,0.0,0,1.0603271384182447,1030,0.8947368421052632,0.20000000000000018,1.0428849902534114,705,1.0857142857142856,16,2060,1410,1.032608695652174,1.6000000000000014,1.0597679596859253,103.0
57,0,1.0,1,4.5,8,0.1,-8,10.0,10,0.0,-1,0.0,-1,1.365712568552325,4869,0.9729729729729729,0.7999999999999998,1.2028405180504287,3243,1.146919431279621,32,9738,6486,1.0999999999999999,3.1999999999999993,1.3647897897897898,486.9000000000001
58,1,1.0,1,1.5,3,0.42857142857142855,-3,2.0,4,0.0,0,0.0,0,1.1552356759808071,2201,0.8717948717948718,0.0,1.0221838943737362,374,1.0159574468085106,4,4402,748,0.969543147208122,0.40000000000000213,1.1545025033495524,220.10000000000014
59,0,0.0,-1,0.75,0,0.75,0,0.75,0,0.0,0,0.0,0,0.9218577220788795,-1271,0.853658536585366,-0.20000000000000018,0.9807460259167935,-366,0.8679245283018868,-34,-2542,-732,0.8394160583941607,-3.3999999999999986,0.9213483146067415,-127.10000000000014
60,0,0.0,-1,1.2,2,0.5714285714285714,-2,2.5,7,1.0,1,1.0,1,1.0473633748801534,742,0.8461538461538461,-0.20000000000000018,0.9637701200287626,-654,0.84375,-39,1484,-1308,0.8150943396226416,-3.8999999999999986,1.0467612111920275,74.19999999999982
61,0,0.0,-1,0.5,-1,1.0,1,0.6666666666666666,0,0.5,0,1.0,1,0.9459835630965006,-814,0.8947368421052632,0.20000000000000018,0.9761701643633055,-418,0.9777777777777777,-4,-1628,-836,0.9401709401709403,-0.3999999999999986,0.9454196197920116,-81.40000000000009
62,1,0.0,-1,1.5,3,0.42857142857142855,-3,3.0,5,0.0,-1,0.0,-1,1.0803121006255465,1195,0.8947368421052632,0.20000000000000018,1.0322541894408073,538,0.7488151658767772,-52,2390,1076,0.7181818181818183,-5.199999999999999,1.0796585103522451,119.5
63,1,1.0,1,1.0,1,0.7142857142857143,-1,0.5555555555555556,-3,0.0,-1,0.0,-1,1.0701845257364844,1085,0.9189189189189189,0.39999999999999947,1.048755905511811,775,1.1,19,2170,1550,1.0476190476190477,1.9000000000000021,1.0695612786333635,108.5
64,0,0.0,-1,0.2,-7,3.0,7,0.2,-7,0.5,0,0.0,-1,0.7561905756974193,-4666,0.8048780487804879,-0.6000000000000005,0.840629839958699,-3086,0.9111111111111111,-19,-9332,-6172,0.8760683760683762,-1.8999999999999986,0.7558352044279673,-466.5999999999999
65,1,0.0,-1,2.0,6,0.36363636363636365,-6,2.0,6,1.0,1,1.0,1,1.1115808352549321,1743,0.8974358974358975,0.20000000000000018,1.1293959895166696,2124,0.9156118143459916,-19,3486,4248,0.8821138211382114,-1.9000000000000021,1.1109404007425903,174.30000000000018
66,1,0.0,-1,0.8571428571428571,0,0.8571428571428571,0,0.8333333333333334,0,0.0,-1,0.0,-1,1.0187546886721681,301,0.9230769230769231,0.40000000000000036,1.0483030168589176,872,0.9391304347826087,-13,602,1744,0.9037656903765692,-1.2999999999999972,1.018181818181818,30.09999999999991
67,0,0.0,-1,0.8571428571428571,0,0.8571428571428571,0,0.875,0,0.5,0,0.0,-1,1.0532301791972492,806,0.8717948717948718,0.0,1.0211404410924465,371,0.9701492537313433,-5,1612,742,0.9285714285714286,-0.5,1.0526037536346815,80.59999999999991
68,1,1.0,1,0.75,0,0.75,0,1.0,1,2.0,2,1.0,1,0.9452656317644876,-884,0.878048780487805,0.0,0.9748118896419232,-471,1.0745614035087718,18,-1768,-942,1.0337552742616034,1.8000000000000007,0.9447397700581037,-88.39999999999986
69,0,0.0,-1,0.875,0,0.875,0,0.875,0,0.5,0,0.0,-1,1.018806705521841,314,0.8292682926829269,-0.40000000000000036,1.0336125192858716,611,0.9449152542372882,-12,628,1222,0.9102040816326531,-1.1999999999999993,1.018256065337497,31.399999999999864
70,1,1.0,1,1.8571428571428572,7,0.42857142857142855,-7,2.3333333333333335,9,0.0,0,0.0,0,1.2057589256891987,3188,0.9459459459459459,0.5999999999999996,1.1454545454545455,2289,1.187878787878788,32,6376,4578,1.1264367816091956,3.200000000000003,1.2050587172538392,318.79999999999995
71,0,0.0,-1,1.1666666666666667,2,0.625,-2,0.7777777777777778,-1,0.0,0,0.0,0,1.045432488171782,750,0.902439024390244,0.20000000000000018,1.0466921874157546,867,1.0865800865800865,21,1500,1734,1.0458333333333334,2.1000000000000014,1.0448620794180055,75.0
72,1,1.0,1,1.8571428571428572,7,0.42857142857142855,-7,1.8333333333333333,6,0.0,-1,0.0,-1,1.1639768387335223,2663,0.9487179487179488,0.6000000000000005,1.0862727476971468,1537,0.9801980198019802,-3,5326,3074,0.938388625592417,-0.3000000000000007,1.1633318968170905,266.29999999999995
73,1,1.0,1,1.5714285714285714,5,0.5,-5,1.7142857142857142,6,0.0,-1,0.0,-1,1.257035175879397,4093,0.9473684210526316,0.6000000000000005,1.1123897423914948,1925,1.0694444444444444,16,8186,3850,1.0266666666666668,1.6000000000000014,1.2563249419298135,409.29999999999995
74,0,0.0,-1,0.42857142857142855,-3,1.5,3,0.2857142857142857,-4,0.0,-1,0.0,-1,0.8116171318793084,-3333,0.853658536585366,-0.20000000000000018,0.9268112889637742,-1389,0.753968253968254,-61,-6666,-2778,0.7279693486590038,-6.100000000000001,0.8112046083469815,-333.29999999999995
75,0,1.0,1,0.7142857142857143,-1,1.0,1,0.75,-1,0.0,-1,0.0,-1,1.0037345947964647,61,0.8974358974358975,0.20000000000000018,1.0655075518089216,1120,1.0637254901960784,14,122,2240,1.0187793427230045,1.3999999999999986,1.003172628304821,6.099999999999909
76,0,0.0,-1,0.3333333333333333,-3,1.6666666666666667,3,0.1111111111111111,-7,0.5,0,1.0,1,0.9134717286952185,-1387,0.8461538461538461,-0.20000000000000018,0.8999333999333999,-1802,1.1534391534391535,30,-2774,-3604,1.101010101010101,3.0,0.9129595015576324,-138.70000000000005
77,1,0.0,-1,0.8,0,0.8,0,1.0,1,0.0,-1,0.0,-1,1.0198267564966315,310,0.875,0.0,1.0292062452232777,536,0.9955357142857143,0,620,1072,0.9570815450643777,0.0,1.0192381685263563,31.0
78,0,1.0,1,0.9090909090909091,0,0.9090909090909091,0,1.1111111111111112,2,0.5,0,1.0,1,0.9548335522183521,-790,0.85,-0.20000000000000018,0.936256928594718,-1172,0.7836538461538461,-44,-1580,-2344,0.751152073732719,-4.399999999999999,0.9543431115169502,-79.0
79,0,1.0,1,0.36363636363636365,-6,2.0,6,0.6363636363636364,-3,0.5,0,1.0,1,0.8639431824851793,-2317,0.825,-0.40000000000000036,0.9031876579046391,-1800,1.0256410256410255,6,-4634,-3600,0.9803921568627452,0.6000000000000014,0.8634870350815441,-231.69999999999982
80,0,0.0,-1,0.2727272727272727,-7,2.5,7,0.07692307692307693,-11,0.0,-1,0.0,-1,0.8550051320836259,-2683,0.853658536585366,-0.20000000000000018,0.880746335851133,-2383,1.0425531914893618,11,-5366,-4766,1.0040983606557377,1.1000000000000014,0.8545896328293737,-268.29999999999995
81,1,0.0,-1,1.2,2,0.5714285714285714,-2,2.2,7,1.0,1,1.0,1,1.105924836164237,1585,0.9473684210526316,0.6000000000000005,1.0775921658986176,1348,1.236842105263158,46,3170,2696,1.1809045226130654,4.600000000000001,1.1052596404464345,158.5
82,0,1.0,1,0.75,-1,1.0,1,0.5833333333333334,-4,0.0,-1,0.0,-1,0.9941024695908588,-95,0.85,-0.20000000000000018,0.9410737900026448,-1113,1.0184331797235022,5,-190,-2226,0.9778761061946902,0.5,0.9935531405415362,-9.5
83,1,1.0,1,1.0,1,0.6,-1,1.0,1,0.5,0,1.0,1,1.1173982386797032,1694,0.9210526315789475,0.40000000000000036,1.0694090382387023,1199,1.1042654028436019,23,3388,2398,1.059090909090909,2.3000000000000007,1.1167013167013167,169.4000000000001
84,1,1.0,1,1.2,2,0.5714285714285714,-2,1.0,1,1.0,1,1.0,1,1.0706188925081432,1085,0.9210526315789475,0.40000000000000036,1.0595089234966466,1048,1.0316742081447965,8,2170,2096,0.991304347826087,0.8000000000000007,1.0699915359072856,108.5
85,1,1.0,1,0.7142857142857143,-1,1.0,1,0.8571428571428571,0,2.0,2,1.0,1,1.1187535268668882,1895,0.875,0.0,0.9876189952126782,-224,1.1682692307692308,36,3790,-448,1.1198156682027651,3.6000000000000014,1.118122571750846,189.5
86,0,0.0,-1,1.1,2,0.75,-2,2.0,9,0.0,-1,0.0,-1,1.0290007763114117,524,0.9,0.20000000000000018,1.026044226044226,478,0.897196261682243,-21,1048,956,0.8609865470852017,-2.1000000000000014,1.0284875020783684,52.40000000000009
87,0,1.0,1,1.5714285714285714,5,0.5,-5,1.5,6,2.0,2,1.0,1,1.0910649764223161,1488,0.925,0.40000000000000036,1.0622184203022527,1092,0.9247787610619469,-16,2976,2184,0.8893617021276595,-1.6000000000000014,1.0904639490757742,148.79999999999995
88,0,0.0,-1,1.0,1,0.7142857142857143,-1,2.25,6,0.0,-1,0.0,-1,0.9887606318347509,-184,0.878048780487805,0.0,1.0030057431163115,57,0.8326693227091634,-41,-368,114,0.8038461538461538,-4.100000000000001,0.9882202926710789,-18.40000000000009
89,1,1.0,1,4.0,7,0.1111111111111111,-7,3.6666666666666665,9,1.0,1,0.0,0,1.3595497241687788,4824,1.0,1.0,1.1818013113942842,2940,1.2277777777777779,42,9648,5880,1.1693121693121695,4.200000000000003,1.358638158384862,482.4000000000001
90,0,0.0,-1,0.3,-6,2.25,6,0.0,-7,0.0,-2,0.0,-1,0.8266073871409029,-3041,0.85,-0.20000000000000018,0.9301758847213393,-1317,0.9508928571428571,-10,-6082,-2634,0.9141630901287554,-1.0,0.8261835583660914,-304.0999999999999
91,0,0.0,-1,0.7142857142857143,-1,1.0,1,0.5,-3,0.5,0,0.0,-1,0.9876067861869811,-205,0.85,-0.20000000000000018,0.9977526887473915,-41,1.0541666666666667,14,-410,-82,1.0160642570281124,1.4000000000000021,0.9870723347964644,-20.5
92,0,0.0,-1,0.6,-3,1.2857142857142858,3,0.8888888888888888,0,0.0,-1,0.0,-1,0.9248895434462445,-1325,0.8292682926829269,-0.40000000000000036,0.947879906618166,-959,0.9404255319148936,-13,-2650,-1918,0.9057377049180328,-1.2999999999999972,0.9244182754911396,-132.5
93,0,0.0,-1,1.1666666666666667,2,0.625,-2,0.6,-3,0.0,-1,0.0,-1,1.0382709078361252,611,0.9230769230769231,0.40000000000000036,1.0791477306262174,1342,1.0049019607843137,2,1222,2684,0.9624413145539906,0.1999999999999993,1.0376849761725608,61.100000000000136
94,1,1.0,1,0.8571428571428571,0,0.8571428571428571,0,1.3333333333333333,3,1.0,1,1.0,1,0.9714907124382789,-484,0.8333333333333333,-0.40000000000000036,0.9279137203031999,-1416,1.0135135135135136,4,-968,-2832,0.974025974025974,0.3999999999999986,0.9709770283767112,-48.399999999999864
